permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
20894,APP,58169,03831W10,APPLOVIN CORP,673.82,61,False,0.0003431663362967,673.82,3012.4864781437605,4,2695.28,0.000269528,0.000269528
13103,APTV,53927,G3265R10,APTIV PLC NEW,76.09,62,False,0.0018985938779779,76.09,16666.8107560233,219,16663.71,0.0016663709999999998,0.0016663709999999998
84767,ARE,31965,01527110,ALEXANDRIA REAL EST EQUITIES INC,48.94,63,False,0.001800925047853,48.94,15809.424704516792,323,15807.619999999999,0.0015807619999999999,0.0015807619999999999
14617,ARES,54837,03990B10,ARES MANAGEMENT CORP,161.63,64,False,0.0021261042252591,161.63,18664.010866671204,115,18587.45,0.001858745,0.001858745
32986,ATO,6748,04956010,ATMOS ENERGY CORP,167.63,65,False,0.0029202795347009,167.63,25635.680660355643,152,25479.76,0.002547976,0.002547976
80381,AVB,30345,05348410,AVALONBAY COMMUNITIES INC,181.31,66,False,0.0035415494598733,181.31,31089.500137686577,171,31004.010000000002,0.003100401,0.003100401
93002,AVGO,53196,11135F10,BROADCOM INC,346.1,67,False,0.0010581359459819,346.1,9288.848853030642,26,8998.6,0.00089986,0.00089986
44601,AVY,20238,05361110,AVERY DENNISON CORP,181.88,68,False,0.0033138301078842,181.88,29090.4652787262,159,28918.92,0.0028918919999999996,0.0028918919999999996
92614,AWK,52985,03042010,AMERICAN WATER WORKS CO INC,130.5,69,False,0.0016811104546038,130.5,14757.632020121773,113,14746.5,0.00147465,0.00147465
89031,AXON,41562,05464C10,AXON ENTERPRISE INC,567.93,70,False,0.0008013140048862,567.93,7034.336848180274,12,6815.16,0.000681516,0.000681516
59176,AXP,90,02581610,AMERICAN EXPRESS CO,369.95,71,False,0.0032671893996088,369.95,28681.029713084903,77,28486.149999999998,0.0028486149999999997,0.0028486149999999997
76605,AZO,29009,05333210,AUTOZONE INC,3391.5,72,False,0.0014251284893401,3391.5,12510.493745058464,3,10174.5,0.00101745,0.00101745
19561,BA,20315,09702310,BOEING CO,217.12,73,False,0.0018622058979194,217.12,16347.378788785054,75,16284.0,0.0016284,0.0016284
59408,BAC,3151,06050510,BANK OF AMERICA CORP,55.0,74,False,0.0032214351341898,55.0,28279.375788112007,514,28270.0,0.002827,0.002827
57568,BALL,20257,05849810,BALL CORP,52.97,75,False,0.0017728941260446,52.97,15563.355192486624,293,15520.21,0.001552021,0.001552021
27887,BAX,20277,07181310,BAXTER INTERNATIONAL INC,19.11,76,False,0.0011066622646144,19.11,9714.83725355986,508,9707.88,0.0009707879999999999,0.0009707879999999999
85914,BBY,7506,08651610,BEST BUY COMPANY INC,66.93,77,False,0.0017454588576542,66.93,15322.514625366228,228,15260.04,0.001526004,0.001526004
39642,BDX,20284,07588710,BECTON DICKINSON & CO,194.07,78,False,0.0019298524656624,194.07,16941.21434042387,87,16884.09,0.001688409,0.001688409
37584,BEN,6407,35461310,FRANKLIN RESOURCES INC,23.89,79,False,0.003014424478587,23.89,26462.13226835157,1107,26446.23,0.002644623,0.002644623
89138,BG,42007,H1135610,BUNGE GLOBAL S A,89.08,80,False,0.0011714402361079,89.08,10283.490826377185,115,10244.199999999999,0.0010244199999999998,0.0010244199999999998
76841,BIIB,11112,09062X10,BIOGEN INC,175.99,81,False,0.0011902901153377,175.99,10448.964534862736,59,10383.41,0.001038341,0.001038341
49656,BK,20265,06405810,BANK OF NEW YORK MELLON CORP,116.09,82,False,0.0037820992886391,116.09,33201.1673667537,285,33085.65,0.0033085650000000003,0.0033085650000000003
86783,BKNG,16454,09857L10,BOOKING HOLDINGS INC,5355.33,83,False,0.0026898377472374,5355.33,23612.746895276578,4,21421.32,0.002142132,0.002142132
75034,BKR,20253,05722G10,BAKER HUGHES CO,45.54,84,False,0.0019117744864191,45.54,16782.516757757956,368,16758.72,0.0016758720000000001,0.0016758720000000001
90720,BLDR,46846,12008R10,BUILDERS FIRSTSOURCE INC,102.89,85,False,0.0011748527215559,102.89,10313.447337787658,100,10289.0,0.0010289,0.0010289
87267,BLK,36336,09290D10,BLACKROCK INC NEW,1070.34,86,False,0.0054303505055372,1070.34,47670.34449255581,44,47094.96,0.004709496,0.004709496
19393,BMY,20331,11012210,BRISTOL MYERS SQUIBB CO,53.94,87,False,0.0009808157011522,53.94,8610.092904676638,159,8576.46,0.0008576459999999999,0.0008576459999999999
91849,BR,51962,11133T10,BROADRIDGE FINANCIAL SOLUTNS INC,223.17,88,False,0.0033344085767218,223.17,29271.1134150882,131,29235.269999999997,0.0029235269999999995,0.0029235269999999995
63467,BRO,3624,11523610,BROWN & BROWN INC,79.7,89,False,0.0023123373276401,79.7,20298.85858734176,254,20243.8,0.00202438,0.00202438
77605,BSX,29489,10113710,BOSTON SCIENTIFIC CORP,95.35,90,False,0.0026191961878196,95.35,22992.619802282465,241,22979.35,0.0022979349999999996,0.0022979349999999996
92108,BX,52388,09260D10,BLACKSTONE INC,154.14,91,False,0.0028316705788377,154.14,24857.826736043153,161,24816.539999999997,0.002481654,0.002481654
85058,BXP,31991,10112110,BXP INC,67.48,92,False,0.0017080325848183,67.48,14993.968002576317,222,14980.560000000001,0.0014980560000000002,0.0014980560000000002
70519,C,20483,17296742,CITIGROUP INC,116.69,93,False,0.0029615428064282,116.69,25997.91038680232,222,25905.18,0.002590518,0.002590518
56274,CAG,20495,20588710,CONAGRA BRANDS INC,17.31,94,False,0.0015639958383824,17.31,13729.541090319939,793,13726.829999999998,0.0013726829999999998,0.0013726829999999998
21371,CAH,6262,14149Y10,CARDINAL HEALTH INC,205.5,95,False,0.0014891377676737,205.5,13072.399343190891,63,12946.5,0.00129465,0.00129465
